Model,kWh Per Mile,Cobalt Content (kg),CO2 Cost (kg)
ZDX AWD,0.4084848484848485,26.819999999999997,289.656
ZDX RWD,0.37444444444444447,26.819999999999997,289.656
e-tron GT/RS e-tron GT,0.39647058823529413,20.924999999999997,225.98999999999998
Q4 40 e-tron,0.32718446601941753,18.45,199.26000000000002
Q4 50 e-tron quattro,0.3585106382978724,18.45,199.26000000000002
Q4 55 e-tron quattro,0.337,18.54,200.232
Q8 e-tron quattro,0.4160493827160494,25.65,277.02
Q8 Sportback e-tron quattro,0.3873563218390805,25.65,277.02
Q8 Sportback e-tron ultra quattro,0.3918604651162791,25.65,277.02
SQ8 e-tron/Sportback e-tron,0.49558823529411766,25.65,277.02
i4 eDrive35 Gran Coupe,0.29304347826086957,18.9,204.12
i4 eDrive40 Gran Coupe,0.322488038277512,18.9,204.12
i4 M50 Gran Coupe,0.3851428571428572,23.624999999999996,255.14999999999998
i4 xDrive40 Gran Coupe,0.32403846153846155,23.624999999999996,255.14999999999998
i5 eDrive40 Sedan,0.33532338308457715,18.9,204.12
i5 M60 xDrive Sedan,0.3829545454545455,18.9,204.12
i7 eDrive50 Sedan,0.3829545454545455,23.624999999999996,255.14999999999998
i7 M70 xDrive Sedan,0.4265822784810127,24.974999999999998,269.73
i7 xDrive60 Sedan,0.3873563218390805,23.624999999999996,255.14999999999998
iX M60,0.42125,24.974999999999998,269.73
iX xDrive40,0.3918604651162791,24.974999999999998,269.73
iX xDrive50,0.4060240963855422,24.974999999999998,269.73
Nevera,0.6358490566037737,34.559999999999995,373.248
Lyric,0.3829545454545455,26.775,289.17
Lyric AWD,0.37865168539325844,26.819999999999997,289.656
Blazer EV AWD,0.3510416666666667,22.275,240.57
Blazer EV RWD,0.366304347826087,26.819999999999997,289.656
Equinox EV AWD,0.3510416666666667,22.455,242.514
Equinox EV FWD,0.31203703703703706,22.455,242.514
Silverado EV,0.534920634920635,46.8,505.44
Silverado EV,0.5029850746268657,37.8,408.24
Charger 2-Dr Daytona,0.4011904761904762,26.054999999999996,281.394
500e,0.29823008849557525,9.495,102.54599999999999
Ocean Sport,0.39415204678362575,16.9425,182.979
F150 Lightning 4WD,0.49558823529411766,27.9,301.32
F150 Lightning 4WD Plat/Ext. Range,0.49558823529411766,37.169999999999995,401.436
Mustang Mach-E AWD,0.37032967032967035,20.564999999999998,222.102
Mustang Mach-E AWD Extended,0.34040404040404043,26.189999999999998,282.852
Mustang Mach-E GT/Rally,0.3829545454545455,26.189999999999998,282.852
Mustang Mach-E RWD,0.32403846153846155,26.189999999999998,282.852
Electrified G70,0.37032967032967035,17.325,187.11
Electrified G80,0.3474226804123712,19.575,211.41
GV60 Advanced/Performance,0.34564102564102567,17.325,187.11
GV60 Standard,0.3008928571428572,17.325,187.11
Hummer EV Pickup,0.674,44.79749999999999,483.81299999999993
Hummer EV SUV,0.674,44.79749999999999,483.81299999999993
Prologue AWD Elite/Touring,0.36042780748663106,22.522499999999997,243.243
Prologue FWD,0.34040404040404043,22.522499999999997,243.243
Ioniq 5 Long range AWD,0.34040404040404043,17.325,187.11
Ioniq 5 Long range RWD,0.29561403508771933,17.325,187.11
Ioniq 5 Standard range RWD,0.3063636363636364,13.049999999999999,140.94
Ioniq 6 Long range AWD,0.3008928571428572,17.325,187.11
Ioniq 6 Long range RWD,0.2622568093385214,17.325,187.11
Ioniq 6 Standard range RWD,0.24962962962962965,11.924999999999999,128.79
Kona Electric,0.28803418803418807,10.799999999999999,116.64
I-PACE EV400,0.41863354037267086,19.349999999999998,208.98
Wagoneer S AWD,0.366304347826087,26.054999999999996,281.394
EV6 AWD GT,0.4060240963855422,17.325,187.11
EV6 Long Range AWD,0.32878048780487806,17.325,187.11
EV6 Long Range RWD,0.28803418803418807,17.325,187.11
EV6 Standard Range RWD,0.28803418803418807,17.325,187.11
EV9 Long Range AWD,0.4134969325153375,22.275,240.57
EV9 Long Range RWD,0.37865168539325844,22.275,240.57
EV9 Standard Range RWD,0.3829545454545455,17.099999999999998,184.67999999999998
Niro Electric,0.29823008849557525,14.399999999999999,155.51999999999998
RZ 300e,0.29304347826086957,16.38,176.904
RZ 450e,0.3336633663366337,16.065,173.50200000000004
Air G Touring XR AWD,0.2785123966942149,30.78,332.42400000000004
Air Pure RWD,0.252434456928839,19.349999999999998,208.98
Air Sapphire AWD,0.320952380952381,26.999999999999996,291.59999999999997
Air Touring AWD,0.26852589641434266,30.78,332.42400000000004
Grancabrio/Granturismo Folgore,0.39881656804733734,10.26,110.808
AMG EQE 4MATIC+,0.4616438356164384,21.374999999999996,230.84999999999997
AMG EQE 4MATIC+,0.4616438356164384,21.554999999999996,232.79399999999998
AMG EQE 4MATIC+ (SUV),0.4554054054054054,21.374999999999996,230.84999999999997
AMG EQE 4MATIC+ (SUV),0.4554054054054054,21.554999999999996,232.79399999999998
AMG EQS 4MATIC+,0.4109756097560976,24.974999999999998,269.73
EQB 250+,0.3149532710280374,16.244999999999997,175.446
EQB 300 4MATIC,0.3873563218390805,16.244999999999997,175.446
EQB 350 4MATIC,0.3873563218390805,16.244999999999997,175.446
EQE 350+,0.3510416666666667,21.374999999999996,230.84999999999997
EQE 350 4MATIC,0.37444444444444447,21.374999999999996,230.84999999999997
EQE 350 4MATIC (SUV),0.39647058823529413,20.002499999999998,216.027
EQE 350+ (SUV),0.3585106382978724,22.859999999999996,246.88799999999998
EQE 500 4MATIC,0.3510416666666667,19.799999999999997,213.83999999999997
EQE 500 4MATIC (SUV),0.3918604651162791,21.5325,232.55100000000002
EQS 450+,0.3510416666666667,24.974999999999998,269.73
EQS 450 4MATIC,0.3547368421052632,24.075,260.01
EQS 450/580 4MATIC (SUV),0.4060240963855422,27.449999999999996,296.46
EQS 450+ (SUV),0.3918604651162791,27.449999999999996,296.46
EQS 580 4MATIC,0.3510416666666667,24.075,260.01
EQS 680 4MATIC Maybach (SUV),0.4160493827160494,27.449999999999996,296.46
EQS 680 4MATIC Maybach (SUV),0.443421052631579,24.974999999999998,269.73
Cooper SE Hardtop 2 door,0.3063636363636364,7.199999999999999,77.75999999999999
ARIYA ENGAGE e-4ORCE 63kWh,0.3547368421052632,14.804999999999998,159.89399999999998
ARIYA ENGAGE+/EVOLVE+ e-4ORCE 87kWh,0.366304347826087,20.429999999999996,220.64399999999998
ARIYA ENGAGE FWD 63kWh,0.3336633663366337,14.804999999999998,159.89399999999998
ARIYA EVOLVE+/EMPOWER+/VENTURE+ FWD 87kWh,0.33532338308457715,20.429999999999996,220.64399999999998
ARIYA PLATINUM+ e-4ORCE 87kWh,0.3807909604519774,20.429999999999996,220.64399999999998
LEAF,0.3036036036036036,9.0,97.2
LEAF SV,0.30917431192660555,13.499999999999998,145.79999999999998
Polestar 2 Dual Motor,0.32403846153846155,17.325,187.11
Polestar 2 Dual Motor Performance Pack,0.3547368421052632,17.325,187.11
Polestar 2 Single Motor,0.29823008849557525,18.224999999999998,196.82999999999998
Macan  Electric,0.35661375661375666,31.522499999999997,340.443
Taycan 4S Cross Turismo,0.43205128205128207,24.682499999999997,266.57099999999997
Taycan 4S Perf Battery/Plus,0.4160493827160494,24.525,264.87
Taycan Cross Turismo,0.4348387096774194,24.525,264.87
Taycan GTS Sport Turismo,0.4134969325153375,24.525,264.87
Taycan Perf Battery/Plus,0.4084848484848485,24.525,264.87
Taycan Turbo/Turbo S,0.43205128205128207,24.525,264.87
R1S All-Terrain Quad Large (20in),0.534920634920635,32.4,349.92
R1S Dual,0.47132867132867134,32.4,349.92
R1S Dual Max,0.4348387096774194,33.6825,363.771
R1S Quad Large,0.4992592592592593,32.4,349.92
R1T Dual,0.47132867132867134,32.4,349.92
R1T Dual Max,0.42929936305732486,33.6825,363.771
R1T Quad Large,0.49558823529411766,32.4,349.92
Black Badge Spectre,0.44635761589403977,23.624999999999996,255.14999999999998
Spectre,0.4348387096774194,23.624999999999996,255.14999999999998
Solterra,0.32718446601941753,16.2,174.96
Model 3 Long Range AWD,0.2785123966942149,18.314999999999998,197.802
Model 3 Long Range AWD-E,0.26328125,18.314999999999998,197.802
Model 3 RWD,0.2505576208178439,13.545,146.286
Model S ,0.2762295081967213,23.49,253.692
Model S Plaid,0.33201970443349754,23.624999999999996,255.14999999999998
Model X,0.3547368421052632,23.624999999999996,255.14999999999998
Model Y Long Range AWD-I,0.2855932203389831,18.765,202.662
Model Y Performance/Long Range AWD,0.3036036036036036,18.765,202.662
Model Y RWD,0.2808333333333334,14.962499999999999,161.595
bZ4X,0.2917748917748918,16.065,173.50200000000004
bZ4X AWD,0.32718446601941753,16.38,176.904
VF 9 Eco/Plus,0.4680555555555556,20.924999999999997,225.98999999999998
ID.4 AWD Pro/Pro S,0.33039215686274515,18.224999999999998,196.82999999999998
ID.4/S/Pro S,0.3063636363636364,18.224999999999998,196.82999999999998
C40/XC40 Recharge,0.3164319248826291,17.325,187.11
C40/XC40 Recharge Twin,0.3421319796954315,17.325,187.11
